fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2010-06-30,2010Q2,0.78,+32.0,0.61,0.17,91153000.0,+22.0,34963000.0,+32.0,0.383563898061501,+9.0
2010-03-31,2010Q1,1.09,-645.0,1.21,-0.12,116187000.0,+nan,48827000.0,+nan,0.4202449499513715,+nan
2009-12-31,2009Q4,0.6,+567.0,0.64,-0.04,76429000.0,+nan,38876000.0,+nan,0.5086550916536917,+nan
2009-09-30,2009Q3,0.69,+245.0,0.58,0.11,75486000.0,+nan,30621000.0,+nan,0.40565137906366744,+nan
2009-06-30,2009Q2,0.59,+354.0,0.53,0.06,74928000.0,+nan,26445000.0,+nan,0.3529388212684177,+nan
2009-03-31,2009Q1,-0.2,-233.0,-0.21,0.01,,+nan,,+nan,,+nan
2008-12-31,2008Q4,0.09,-325.0,0.16,-0.07,,+nan,,+nan,,+nan
2008-09-30,2008Q3,0.2,+11.0,0.09,0.11,,+nan,,+nan,,+nan
2008-06-30,2008Q2,0.13,-244.0,0.12,0.01,,+nan,,+nan,,+nan
2008-03-31,2008Q1,0.15,-56.0,0.08,0.07,,+nan,,+nan,,+nan
2007-12-31,2007Q4,-0.04,-111.0,0.11,-0.15,,+nan,,+nan,,+nan
2007-09-30,2007Q3,0.18,-55.0,0.1,0.08,,+nan,,+nan,,+nan
2007-06-30,2007Q2,-0.09,-103.0,-0.1,0.01,,+nan,,+nan,,+nan
2007-03-31,2007Q1,0.34,+48.0,0.32,0.02,,+nan,,+nan,,+nan
2006-12-31,2006Q4,0.37,+1133.0,0.31,0.06,,+nan,,+nan,,+nan
2006-09-30,2006Q3,0.4,+233.0,0.4,0.0,,+nan,,+nan,,+nan
2006-06-30,2006Q2,2.98,+4157.0,2.94,0.04,,+nan,,+nan,,+nan
2006-03-31,2006Q1,0.23,-1250.0,0.18,0.05,,+nan,,+nan,,+nan
2005-12-31,2005Q4,0.03,-1100.0,0.06,-0.03,,+nan,,+nan,,+nan
2005-09-30,2005Q3,0.12,-200.0,0.14,-0.02,,+nan,,+nan,,+nan
2005-06-30,2005Q2,0.07,+250.0,0.05,0.02,,+nan,,+nan,,+nan
2005-03-31,2005Q1,-0.02,-120.0,-0.05,0.03,,+nan,,+nan,,+nan
2004-12-31,2004Q4,-0.003,-115.0,0.02,-0.023,,+nan,,+nan,,+nan
2004-09-30,2004Q3,-0.12,-300.0,-0.09,-0.03,,+nan,,+nan,,+nan
2004-06-30,2004Q2,0.02,-60.0,0.03,-0.01,,+nan,,+nan,,+nan
2004-03-31,2004Q1,0.1,-78.0,0.08,0.02,,+nan,,+nan,,+nan
2003-12-31,2003Q4,0.02,-80.0,0.07,-0.05,,+nan,,+nan,,+nan
2003-09-30,2003Q3,0.06,-155.0,,,,+nan,,+nan,,+nan
2003-06-30,2003Q2,0.05,+25.0,-0.05,0.1,,+nan,,+nan,,+nan
2003-03-31,2003Q1,0.45,+149900.0,0.03,0.42,,+nan,,+nan,,+nan
2002-12-31,2002Q4,0.1,-156.0,-0.08,0.18,,+nan,,+nan,,+nan
2002-09-30,2002Q3,-0.11,+22.0,-0.1,-0.01,,+nan,,+nan,,+nan
2002-06-30,2002Q2,0.04,-180.0,-0.1,0.14,,+nan,,+nan,,+nan
2002-03-31,2002Q1,0.0003,-101.0,-0.13,0.1303,,+nan,,+nan,,+nan
2001-12-31,2001Q4,-0.18,-80.0,-0.1,-0.08,,+nan,,+nan,,+nan
2001-09-30,2001Q3,-0.09,-8282.0,-0.06,-0.03,,+nan,,+nan,,+nan
2001-06-30,2001Q2,-0.05,+134.0,-0.06,0.01,,+nan,,+nan,,+nan
2001-03-31,2001Q1,-0.04,-641.0,-0.03,-0.01,,+nan,,+nan,,+nan
2000-12-31,2000Q4,-0.8852,-3051.0,,,,+nan,,+nan,,+nan
2000-09-30,2000Q3,0.0011,-98.0,,,,+nan,,+nan,,+nan
2000-06-30,2000Q2,-0.0214,-143.0,,,,+nan,,+nan,,+nan
2000-03-31,2000Q1,0.0074,-98.0,,,,+nan,,+nan,,+nan
1999-12-31,1999Q4,0.03,-92.0,,,,+nan,,+nan,,+nan
1999-09-30,1999Q3,0.05,-138.0,0.03,0.02,,+nan,,+nan,,+nan
1999-06-30,1999Q2,0.05,-91.0,,,,+nan,,+nan,,+nan
1999-03-31,1999Q1,0.43,+975.0,0.39,0.04,,+nan,,+nan,,+nan
1998-12-31,1998Q4,0.36,-244.0,0.32,0.04,,+nan,,+nan,,+nan
1998-09-30,1998Q3,-0.13,-24.0,-0.16,0.03,,+nan,,+nan,,+nan
1998-06-30,1998Q2,0.55,-424.0,0.29,0.26,,+nan,,+nan,,+nan
1998-03-31,1998Q1,0.04,-131.0,0.05,-0.01,,+nan,,+nan,,+nan
1997-12-31,1997Q4,-0.25,+nan,-0.22,-0.03,,+nan,,+nan,,+nan
1997-09-30,1997Q3,-0.17,+nan,-0.24,0.07,,+nan,,+nan,,+nan
1997-06-30,1997Q2,-0.17,+nan,-0.17,0.0,,+nan,,+nan,,+nan
1997-03-31,1997Q1,-0.13,+nan,-0.16,0.03,,+nan,,+nan,,+nan
